Name	z	$T_{\rm m}$ (keV)	$\beta $	$r_{\rm c}$ (kpc)	$n_{\rm center}$ (10-2 cm-3)	$t_{\rm cool}$ (1010 yr)	$\dot{M}$ ($M_{\odot }$/yr)
NGC 5846	0.0061	$\rm0.82^{+ 0.01}_{- 0.01 }$	$\rm0.599^{+ 0.016}_{- 0.015 }$	$\rm 6^{+ 0}_{- 0 }$	$\rm 3.56^{+ 0.22}_{- 0.21 }$	$\rm0.04^{+ 0.00}_{- 0.00 }$	$\rm 2^{+ 0}_{- 0 }$
OPHIUCHU	0.0280	$\rm 10.26^{+ 0.32}_{- 0.32 }$	$\rm0.747^{+ 0.035}_{- 0.032 }$	$\rm 278^{+ 23}_{- 21 }$	$\rm0.68^{+ 0.04}_{- 0.04 }$	$\rm 1.72^{+ 0.12}_{- 0.10 }$	$\rm0^{+ 0}_{- 0 }$
PERSEUS	0.0183	$^d\rm 6.79^{+ 0.12}_{- 0.12 }$	$\rm0.540^{+ 0.006}_{- 0.004 }$	$\rm 63^{+ 2}_{- 1 }$	$\rm 3.25^{+ 0.06}_{- 0.05 }$	$\rm0.28^{+ 0.01}_{- 0.01 }$	$\rm 481^{+ 31}_{- 32 }$
PKS0745	0.1028	$^b\rm 7.21^{+ 0.11}_{- 0.11 }$	$\rm0.608^{+ 0.006}_{- 0.006 }$	$\rm 71^{+ 2}_{- 2 }$	$\rm 5.70^{+ 0.14}_{- 0.15 }$	$\rm0.16^{+ 0.00}_{- 0.00 }$	$\rm 1424^{+ 150}_{- 133 }$
RXJ2344	0.0786	$\rm (4.73^{+ 0.76}_{- 0.66 }$)	$\rm0.807^{+ 0.033}_{- 0.030 }$	$\rm 300^{+ 19}_{- 18 }$	$\rm0.51^{+ 0.06}_{- 0.05 }$	$\rm 1.43^{+ 0.24}_{- 0.20 }$	$\rm0^{+ 1}_{- 0 }$
S405	0.0613	$\rm (4.21^{+ 0.67}_{- 0.59 }$)	$\rm0.664^{+ 0.263}_{- 0.133 }$	$\rm 458^{+ 261}_{- 158 }$	$\rm0.12^{+ 0.05}_{- 0.03 }$	$\rm 5.67^{+ 1.85}_{- 1.74 }$	$\rm0^{+ 0}_{- 0 }$
S540	0.0358	$\rm (2.40^{+ 0.38}_{- 0.34 }$)	$\rm0.641^{+ 0.073}_{- 0.051 }$	$\rm 130^{+ 38}_{- 28 }$	$\rm0.40^{+ 0.07}_{- 0.05 }$	$\rm 1.23^{+ 0.23}_{- 0.24 }$	$\rm 1^{+ 7}_{- 1 }$
S636	0.0116	$\rm (1.18^{+ 0.19}_{- 0.17 }$)	$\rm0.752^{+ 0.217}_{- 0.123 }$	$\rm 343^{+ 130}_{- 86 }$	$\rm0.07^{+ 0.01}_{- 0.01 }$	$\rm 3.06^{+ 0.77}_{- 0.65 }$	$\rm0^{+ 0}_{- 0 }$
TRIANGUL	0.0510	$^a\rm 9.50^{+ 0.70}_{- 0.70 }$	$\rm0.610^{+ 0.010}_{- 0.010 }$	$\rm 278^{+ 10}_{- 9 }$	$\rm0.55^{+ 0.01}_{- 0.01 }$	$\rm 1.98^{+ 0.12}_{- 0.12 }$	$\rm0^{+ 0}_{- 0 }$
UGC0 3957	0.0340	$\rm (2.58^{+ 0.41}_{- 0.36 }$)	$\rm0.740^{+ 0.133}_{- 0.086 }$	$\rm 142^{+ 44}_{- 33 }$	$\rm0.48^{+ 0.08}_{- 0.06 }$	$\rm 1.09^{+ 0.21}_{- 0.20 }$	$\rm 8^{+ 11}_{- 8 }$
ZwCl 1742	0.0757	$\rm (5.23^{+ 0.84}_{- 0.73 }$)	$\rm0.717^{+ 0.073}_{- 0.053 }$	$\rm 231^{+ 45}_{- 38 }$	$\rm0.60^{+ 0.11}_{- 0.09 }$	$\rm 1.29^{+ 0.28}_{- 0.23 }$	$\rm0^{+ 23}_{- 0 }$ 
